wk,home_score,away_score,home_expected_goals,away_expected_goals,away_id,away_shots,away_shots_on_target,away_touches,away_pass_pct,away_assists,home_id,home_shots,home_shots_on_target,home_touches,home_pass_pct,home_assists
27,5,2,2.7,1.1,054efa67,23,10,856,84.5,3,f0ac8ee6,12,4,507,69.1,2
27,0,3,0.7,1.3,c539e393,12,2,803,81.7,0,0cdc4311,9,7,439,60.6,0
27,0,5,0.2,5.3,a224b06a,4,1,484,78.2,0,acbb6a5b,21,9,833,88.0,5
27,2,2,1.5,0.8,bc357bf7,14,5,680,76.6,2,b1278397,10,4,494,66.5,2
28,0,1,0.8,0.8,add600ae,13,4,790,84.9,0,054efa67,12,4,753,83.9,0
28,3,3,4.9,1.0,f0ac8ee6,34,16,733,82.8,1,a486e511,10,5,503,74.8,2
28,1,4,1.1,2.3,c7a9f859,9,1,814,83.9,0,4eaa11d7,15,9,455,70.4,3
28,0,0,0.8,0.4,62add3bf,12,7,610,77.6,0,32f3ee20,9,4,745,82.8,0
28,2,2,0.8,1.5,acbb6a5b,11,4,616,82.3,2,2818f8bc,11,2,509,78.2,1
28,1,1,0.4,1.1,7a41008f,8,4,469,67.2,0,a224b06a,10,2,661,79.4,1
28,3,1,1.3,2.2,033ea6b8,7,6,550,84.2,3,bc357bf7,17,4,679,84.9,1
28,0,0,0.7,1.7,0cdc4311,12,3,614,75.8,0,d9f93f02,15,2,544,76.3,0
28,2,1,1.8,0.8,b1278397,13,7,751,79.6,0,c539e393,8,3,447,64.2,1
29,0,1,0.9,0.6,a486e511,8,2,454,71.0,0,c7a9f859,7,1,828,86.6,1
29,1,2,1.9,1.7,4eaa11d7,18,4,566,70.7,1,f0ac8ee6,6,2,507,66.6,1
29,2,0,2.1,0.7,2818f8bc,11,6,616,76.2,1,0cdc4311,8,2,569,72.0,0
29,0,1,0.6,0.4,c539e393,10,1,524,68.6,0,62add3bf,6,2,660,76.0,1
29,0,1,1.1,1.9,a224b06a,17,2,629,77.6,0,033ea6b8,10,5,637,78.3,1
29,5,0,3.2,0.9,054efa67,22,9,829,87.0,3,b1278397,6,2,452,72.8,0
